HMM_id | Input_annotations | Input_taxa_names | Input_databases | Input_geneIds | Input_taxa_ids | Input_record_headers
332 | aminoglycoside | Micromonospora.chalcea | resFinder.2.1 | AAB21326.1_desc-APH.3.-Vc | 1874 | db-CARD.1.1.3_geneId-AAB21326.1_desc-APH.3.-Vc_annot-ARO3002651_taxaName-Micromonospora.chalcea_taxaId-1874
439 | fosfomycin | Escherichia.coli | resFinder.2.1 | BAP18892.1_desc-FosA4 | 562 | db-CARD.1.1.3_geneId-BAP18892.1_desc-FosA4_annot-ARO3003210_taxaName-Escherichia.coli_taxaId-562
427 | dfr | Bacteroidetes.bacterium.OLB12 | resFinderFG.1.0 | KXK23951.1_desc-dihydrofolate.reductase | 1619897 | db-resFinderFG.1.0_geneId-KXK23951.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Bacteroidetes.bacterium.OLB12_taxaId-1619897
403 | phenicol | Pseudomonas.aeruginosa | CARD.1.1.3 | AAA22081.1_desc-cat | 287 | db-CARD.1.1.3_geneId-AAA22081.1_desc-cat_annot-ARO3002670_taxaName-Agrobacterium.tumefaciens.str.C58_taxaId-176299
441 | dfr | Bacteroides.sp.CAG.20 | resFinderFG.1.0 | CCX96430.1_desc-dihydrofolate.reductase | 1262738 | db-resFinderFG.1.0_geneId-CCX96430.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Bacteroides.sp.CAG.20_taxaId-1262738
386 | vancomycin | Enterococcus.faecium | resFinder.2.1 | AAM09851.1_desc-vanRD | 1352 | db-CARD.1.1.3_geneId-AAM09851.1_desc-vanRD_annot-ARO3002923_taxaName-Enterococcus.faecium_taxaId-1352
333 | beta_lactamase | Methylobacter | resFinderFG.1.0 | WP_027147298.1_desc-MULTISPECIES.class.D.beta-lactamase | 329 | db-resFinderFG.1.0_geneId-WP_027147298.1_desc-MULTISPECIES.class.D.beta-lactamase_annot-beta_lactamase_taxaName-Methylobacter_taxaId-429
373 | beta-lactamase | Pseudomonas.aeruginosa | CARD.1.1.3 | AAK59385.1_desc-IMP-9 | 287 | db-CARD.1.1.3_geneId-AAK59385.1_desc-IMP-9_annot-ARO3002200_taxaName-Pseudomonas.aeruginosa_taxaId-287
241 | beta-lactamase | Pseudomonas.aeruginosa | CARD.1.1.3 | WP_025004846.1_desc-class.A.beta-lactamase | 287 | db-resFinderFG.1.0_geneId-WP_025004846.1_desc-class.A.beta-lactamase_annot-beta_lactamase_taxaName-Porphyromonas.macacae_taxaId-28115
424 | dfr | Bacteroides | resFinderFG.1.0 | WP_004326077.1_desc-diacylglycerol.kinase | 816 | db-resFinderFG.1.0_geneId-WP_004326077.1_desc-diacylglycerol.kinase_annot-dfr_taxaName-Bacteroides.ovatus_taxaId-28116
201 | van_ligase | Bacteroides | resFinderFG.1.0 | WP_006847565.1_desc-D-alanine--D-alanine.ligase.A | 816 | db-resFinderFG.1.0_geneId-WP_006847565.1_desc-D-alanine--D-alanine.ligase.A_annot-van_ligase_taxaName-Prevotella.copri_taxaId-165179
239 | beta-lactamase | Pseudomonas.aeruginosa | resFinder.2.1 | WP_015272415.1_desc-class.A.beta-lactamase | 287 | db-resFinderFG.1.0_geneId-WP_015272415.1_desc-class.A.beta-lactamase_annot-beta_lactamase_taxaName-Pseudomonas.putida_taxaId-303
391 | quinolone | Citrobacter.freundii | resFinder.2.1 | AFA52644.1_desc-QnrB45 | 546 | db-CARD.1.1.3_geneId-AFA52644.1_desc-QnrB45_annot-ARO3002760_taxaName-Escherichia.coli_taxaId-562
419 | dfr | Candidatus.Saccharibacteria.bacterium.RAAC3_TM7_1 | resFinderFG.1.0 | AHB42570.1_desc-dihydrofolate.reductase | 1394711 | db-resFinderFG.1.0_geneId-AHB42570.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Candidatus.Saccharibacteria.bacterium.RAAC3_TM7_1_taxaId-1394711
271 | beta-lactamase | Pseudomonas.aeruginosa | CARD.1.1.3 | WP_001007673.1_desc-MULTISPECIES.oxacillin-hydrolyzing.class.D.beta-lactamase.OXA-2 | 287 | db-resFinderFG.1.0_geneId-WP_001007673.1_desc-MULTISPECIES.oxacillin-hydrolyzing.class.D.beta-lactamase.OXA-2_annot-beta_lactamase_taxaName-Proteobacteria_taxaId-1224
103 | macrolide | Streptomyces.lividans | CARD.1.1.3 | AAA26779.1_desc-ErmO | 1916 | db-CARD.1.1.3_geneId-AAA26779.1_desc-ErmO_annot-ARO3001303_taxaName-Streptomyces.lividans_taxaId-1916
87 | tetracycline | Geobacillus.stearothermophilus | resFinder.2.1 | AAA22851.1_desc-tetL | 1423 | db-CARD.1.1.3_geneId-AAA22851.1_desc-tetL_annot-ARO3000179_taxaName-Geobacillus.stearothermophilus_taxaId-1422
395 | vancomycin | Enterococcus.faecium | resFinder.2.1 | AAM09852.1_desc-vanXD | 1352 | db-CARD.1.1.3_geneId-AAM09852.1_desc-vanXD_annot-ARO3003070_taxaName-Enterococcus.faecium_taxaId-1352
458 | rifampicin | Pseudomonas.aeruginosa | resFinder.2.1 | AAC64366.1_desc-arr-2 | 287 | db-CARD.1.1.3_geneId-AAC64366.1_desc-arr-2_annot-ARO3002847_taxaName-Pseudomonas.aeruginosa_taxaId-287
342 | beta-lactamase | Brachyspira.pilosicoli | CARD.1.1.3 | ABW76134.1_desc-OXA-136 | 52584 | db-CARD.1.1.3_geneId-ABW76134.1_desc-OXA-136_annot-ARO3001765_taxaName-Brachyspira.pilosicoli_taxaId-1161918
460 | dfr | Streptococcus.salivarius | resFinderFG.1.0 | WP_002885904.1_desc-dihydrofolate.reductase | 1304 | db-resFinderFG.1.0_geneId-WP_002885904.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Streptococcus.salivarius_taxaId-1304
133 | cat | Clostridium.sp.CAG.226 | resFinderFG.1.0 | CCX49781.1_desc-chloramphenicol.O-acetyltransferase | 1262781 | db-resFinderFG.1.0_geneId-CCX49781.1_desc-chloramphenicol.O-acetyltransferase_annot-cat_taxaName-Clostridium.sp.CAG.226_taxaId-1262781
374 | macrolide | Staphylococcus.aureus | resFinder.2.1 | AAA98096.1_desc-ErmT | 1352 | db-CARD.1.1.3_geneId-AAA98096.1_desc-ErmT_annot-ARO3000595_taxaName-Plasmid.pGT633_taxaId-28406
290 | beta-lactamase | Pseudomonas.aeruginosa | resFinder.2.1 | WP_032492122.1_desc-MULTISPECIES.OXA-5.family.class.D.beta-lactamase.OXA-129 | 287 | db-resFinderFG.1.0_geneId-WP_032492122.1_desc-MULTISPECIES.OXA-5.family.class.D.beta-lactamase.OXA-129_annot-beta_lactamase_taxaName-Gammaproteobacteria_taxaId-1236
339 | beta-lactamase | Escherichia.coli | CARD.1.1.3 | BAO79439.1_desc-NDM-12 | 562 | db-CARD.1.1.3_geneId-BAO79439.1_desc-NDM-12_annot-ARO3002362_taxaName-Escherichia.coli_taxaId-562
368 | vancomycin | Enterococcus.faecalis | resFinder.2.1 | ABX54688.1_desc-vanXYL | 1351 | db-CARD.1.1.3_geneId-ABX54688.1_desc-vanXYL_annot-ARO3002968_taxaName-Enterococcus.faecalis_taxaId-1351
191 | vancomycin | Enterococcus.faecium | resFinder.2.1 | AHA41499.1_desc-vanHO | 1352 | db-CARD.1.1.3_geneId-AHA41499.1_desc-vanHO_annot-ARO3002948_taxaName-Rhodococcus.equi_taxaId-43767
325 | beta-lactamase | Pseudomonas.aeruginosa | CARD.1.1.3 | CHQ03353.1_desc-Beta-lactamase.OXA-10.precursor | 287 | db-resFinderFG.1.0_geneId-CHQ03353.1_desc-Beta-lactamase.OXA-10.precursor_annot-beta_lactamase_taxaName-Salmonella.enterica.subsp.enterica.serovar.Typhi_taxaId-90370
473 | nitroimidazole | NA | resFinder.2.1 | X71444_desc-nimA_1 | 305719 | db-resFinder.2.1_geneId-X71444_desc-nimA_1_annot-nitroimidazole_taxaName-NA_taxaId-821
429 | dfr | candidate.division.TM7.genomosp.GTL1 | resFinderFG.1.0 | EDK72444.1_desc-bifunctional.deaminase-reductase.domain.protein | 443342 | db-resFinderFG.1.0_geneId-EDK72444.1_desc-bifunctional.deaminase-reductase.domain.protein_annot-dfr_taxaName-candidate.division.TM7.genomosp.GTL1_taxaId-443342
438 | dfr | Eubacterium.sp.CAG.146 | resFinderFG.1.0 | CCY13114.1_desc-dihydrofolate.reductase | 1262879 | db-resFinderFG.1.0_geneId-CCY13114.1_desc-dihydrofolate.reductase_annot-dfr_taxaName-Eubacterium.sp.CAG.146_taxaId-1262879
467 | dfr | candidate.division.TM7.genomosp.GTL1 | resFinderFG.1.0 | EDK72444.1_desc-bifunctional.deaminase-reductase.domain.protein | 443342 | db-resFinderFG.1.0_geneId-EDK72444.1_desc-bifunctional.deaminase-reductase.domain.protein_annot-dfr_taxaName-candidate.division.TM7.genomosp.GTL1_taxaId-443342
464 | dfr | Methyloceanibacter.superfactus | resFinderFG.1.0 | WP_069440972.1_desc-hypothetical.protein | 1774969 | db-resFinderFG.1.0_geneId-WP_069440972.1_desc-hypothetical.protein_annot-dfr_taxaName-Methyloceanibacter.superfactus_taxaId-1774969
432 | dfr | Collinsella.aerofaciens | resFinderFG.1.0 | NA_desc-NA | 74426 | db-resFinderFG.1.0_geneId-NA_desc-NA_annot-dfr_taxaName-NA_taxaId-NA
242 | cat | Kallipyga.massiliensis | resFinderFG.1.0 | WP_019134461.1_desc-type.A.chloramphenicol.O-acetyltransferase | 1472764 | db-resFinderFG.1.0_geneId-WP_019134461.1_desc-type.A.chloramphenicol.O-acetyltransferase_annot-cat_taxaName-Kallipyga.massiliensis_taxaId-1472764
48 | macrolide | Enterococcus.faecium | resFinder.2.1 | ACX92986.2_desc-vgaD | 1280 | db-CARD.1.1.3_geneId-ACX92986.2_desc-vgaD_annot-ARO3002832_taxaName-Enterococcus.faecium_taxaId-1352
269 | AAC | Escherichia.coli | resFinderFG.1.0 | ESD46483.1_desc-aminoglycoside.3-N-acetyltransferase | 562 | db-resFinderFG.1.0_geneId-ESD46483.1_desc-aminoglycoside.3-N-acetyltransferase_annot-AAC_taxaName-Escherichia.coli.908519_taxaId-1268991
198 | beta-lactamase | Klebsiella.pneumoniae | CARD.1.1.3 | WP_006555379.1_desc-MULTISPECIES.class.A.extended-spectrum.beta-lactamase.ACI-1 | 573 | db-resFinderFG.1.0_geneId-WP_006555379.1_desc-MULTISPECIES.class.A.extended-spectrum.beta-lactamase.ACI-1_annot-beta_lactamase_taxaName-Negativicutes_taxaId-909932
34 | beta-lactamase | Citrobacter.freundii | CARD.1.1.3 | WP_063859673.1_desc-class.C.beta-lactamase.CMY-108 | 546 | db-resFinderFG.1.0_geneId-WP_063859673.1_desc-class.C.beta-lactamase.CMY-108_annot-beta_lactamase_taxaName-Escherichia.coli_taxaId-562
349 | beta-lactamase | Pseudomonas.aeruginosa | CARD.1.1.3 | AGC50806.1_desc-VIM-36 | 287 | db-CARD.1.1.3_geneId-AGC50806.1_desc-VIM-36_annot-ARO3002306_taxaName-Pseudomonas.aeruginosa_taxaId-287
200 | beta_lactamase | Fischerella.muscicola | resFinderFG.1.0 | WP_063827194.1_desc-class.A.beta-lactamase | 92938 | db-resFinderFG.1.0_geneId-WP_063827194.1_desc-class.A.beta-lactamase_annot-beta_lactamase_taxaName-Fischerella.muscicola_taxaId-92938
244 | beta-lactamase | Runella.slithyformis | CARD.1.1.3 | WP_013930073.1_desc-class.A.beta-lactamase | 470 | db-resFinderFG.1.0_geneId-WP_013930073.1_desc-class.A.beta-lactamase_annot-beta_lactamase_taxaName-Runella.slithyformis_taxaId-106
446 | aminoglycoside | Pseudomonas.aeruginosa | CARD.1.1.3 | BAM46120.1_desc-AAC.6.-Iaj | 287 | db-CARD.1.1.3_geneId-BAM46120.1_desc-AAC.6.-Iaj_annot-ARO3003677_taxaName-Pseudomonas.aeruginosa_taxaId-287
520 | aminoglycoside | Stenotrophomonas.maltophilia | CARD.1.1.3 | AAD03495.1_desc-AAC.6.-Iw | 40324 | db-CARD.1.1.3_geneId-AAD03495.1_desc-AAC.6.-Iw_annot-ARO3002567_taxaName-Acinetobacter.sp.640_taxaId-70350
