HMM_id | Annotation | Input_record_headers
1120 | esp | VFG000744.gb.AAC38396.espB.EspB.EspB.VF0179.Escherichia.coli.O127.H6.str.E2348.69.:1,espB.1.EU871627:1,espB.2.EU871628:1,espB.3.AF071034:1,espB.4.X96953:1,espB.5.CP001846:1,espB.7.AP010958:1,espB.8.AJ303141:1,espB.9.AB426060:1,espB.10.X99670:1,espB.11.Y13859:1,espB.12.ECU65681:1
497 | type_III_secretion | VFG000048.gb.NP.880888.bscN.ATP.synthase.in.type.III.secretion.system.TTSS.VF0035.Bordetella.pertussis.Tohama.I.:1,VFG002459.gb.YP.111547.bsaS.ATP.synthase.Bsa.T3SS.VF0428.Burkholderia.pseudomallei.K96243.:1,VFG002499.gb.YP.106855.fliI.flagellum.specific.ATP.synthase.FliI.Flagella.VF0430.Burkholderia.pseudomallei.K96243.:1,VFG002144.gb.NP.220188.cdsN.Type.III.secretion.system.ATPase.TTSS.VF0344.Chlamydia.trachomatis.D.UW.3.CX.:1,VFG000812.gb.NP.290268.escN.ATPase.EscN.TTSS.VF0191.Escherichia.coli.O157.H7.str.EDL933.:1,VFG006672.gb.NP.208211.fliI.flagellum.specific.ATP.synthase.FliI.Pse5Ac7Ac.AI150.Helicobacter.pylori.26695.:1,VFG043340.gb.YP.095783.fliI.flagellum.specific.ATP.synthase.FliI.polar.flagella.AI149.Legionella.pneumophila.subsp.pneumophila.str.Philadelphia.1.:1,VFG000192.gb.NP.250388.pscN.type.III.secretion.system.ATPase.PscN.TTSS.VF0083.Pseudomonas.aeruginosa.PAO1.:1,VFG001254.gb.NP.249795.fliI.flagellum.specific.ATP.synthase.FliI.Flagella.VF0273.Pseudomonas.aeruginosa.PAO1.:1,VFG000515.gb.NP.460380.ssaN.type.III.secretion.system.ATPase.SsaN.TTSS.SPI.2.encode.VF0321.Salmonella.enterica.subsp.enterica.serovar.Typhimurium.str.LT2.:1,VFG007158.gb.NP.798047.vscN.type.III.secretion.system.ATPase.VscN.T3SS1.VF0408.Vibrio.parahaemolyticus.RIMD.2210633.:1,VFG000390.gb.NP.395174.yscN.type.III.secretion.system.ATPase.YscN.TTSS.VF0140.Yersinia.pestis.CO92.:1,VFG002331.gb.YP.001006744.fliI.flagellum.specific.ATP.synthase.FliI.Flagella.VF0394.Yersinia.enterocolitica.subsp.enterocolitica.8081.:1
205 | hysA | hysA.1.BA000018.3:1,hysA.2.BA000033.2:1,hysA.3.AP009351.1:1,hysA.4.CP002120.1:1,hysA.5.FR821779.1:1,hysA.6.FR821779.1:1,hysa.7.CP002110.1:1,hysA1.8.BX571856.1:1,hysA2.9.BX571856.1:1,hysA.11.AM990992.1:1,hysA.12.CP003045.1:1
479 | isb | spa.16.AM990992.1:1,isb.1.BA000018.3:1,isb.2.BA000017.4:1,isb.3.BX571856.1:1,isb.4.BA000033.2:1,isb.5.CP000046.1:1,isb.7.FN433596.1:1,isb.8.FR821779.1:1,isb.10.CP003166.1:1,isb.11.HE681097.1:1
1504 | SEnt(enterotoxin) | SEnt-like.5.CP002643.1:1,SEnt-like.6.CP003194.1:1,SEnt-like.9.CP002643.1:1,set1.5.FR821779.1:1,set3.1.FR821777.2:1,set3.4.FR821779.1:1,set3.6.CP003194.1:1,set3.7.HE681097.1:1,set3.9.CP002110.1:1,set4.2.AJ938182.1:1,set4.3.HE681097.1:1,set5.2.CP002110.1:1,set5.5.AJ938182.1:1,set6.1.CP001844.2:1,set6.4.CP003166.1:1,set7.1.AJ938182.1:1,set7.2.BA000018.3:1,set7.3.AP009324.1:1,set7.5.CP002114.2:1,set7.6.CP003166.1:1,set10.1.CP001844.2:1,set10.2.AJ938182.1:1,set10.3.CP002114.2:1,set10.5.CP003166.1:1,set11.2.AJ938182.1:1,set12.1.BA000018.3:1,set12.2.CP002114.2:1,set12.3.CP002120.1:1,set12.4.CP003166.1:1,set14.3.CP002114.2:1,set15.4.CP003194.1:1,set15.5.CP003166.1:1,set16.1.BA000033.2:1,set17.1.BA000033.2:1,set20.1.BA000033.2:1,set20.2.CP000730.1:1,set21.1.BA000033.2:1,set23.1.BA000033.2:1,SExo.3.FR821779.1:1,SExo.5.FR821779.1:1,SExo.7.FR821779.1:1,SExo.9.FR821779.1:1,SExo.29.CP003045.1:1,SExo.31.CP003045.1:1,SExo.40.FR821777.2:1,SExo.45.HE681097.1:1,SExo.49.HE681097.1:1
679 | nleA | VFG045339.gb.EIQ72111.nleA.non.LEE.encoded.effector.NleA.NleA.EspI.VF0339.Escherichia.coli.C342.62.:1,nleA.1.AM421996:1,nleA.2.JN159726:1,nleA.3.AB303062:1,nleA.4.AM421995:1,nleA.5.JN159732:1,nleA.6.AM422006:1,nleA.7.CP001164:1,nleA.9.JN159731:1,nleA.10.AM422005:1,nleA.11.FM180568:1,nleA.12.AM422003:1,nleA.13.AP010960:1,nleA.14.AM422007:1,nleA.15.CP003111:1,nleA.16.GQ845116:1,nleA.17.AM421999:1,nleA.18.AM421997:1
416 | tir | tir.1.AF301618:1,tir.2.AB026719:1,tir.5.AF025311:1,tir.6.DQ007024:1,tir.7.DQ007023:1,tir.8.AB036053:1,tir.9.AJ633129:1,tir.10.FM986651:1,tir.11.FM986652:1,tir.12.DQ206455:1,tir.13.AF022236:1,tir.14.AF013122:1,tir.15.AB288104:1,tir.16.AY944737:1,tir.17.AB355659:1,tir.18.EU871626:1,tir.19.EU871627:1,tir.20.AF070067:1,tir.21.AF125993:1,tir.22.EU871628:1,tir.23.HM581522:1,tir.24.CP003109:1,tir.25.DQ007019:1,tir.27.CP001846:1,tir.28.AY944736:1,tir.29.AY944735:1,tir.30.AJ303141:1,tir.31.AF070069:1,tir.32.AY944738:1,tir.33.AF045568:1,tir.34.AB426060:1,tir.35.AB288103:1,tir.36.AJ633130:1
955 | sspA | sspA.2.BA000018.3:1,sspA.3.CP000046.1:1,sspA.4.BX571856.1:1,sspA.5.BA000033.2:1,sspA.6.AP009351.1:1,sspA.7.AJ938182.1:1,sspA.8.CP001844.2:1,sspA.9.FR821779.1:1,sspA.10.CP003194.1:1,sspA.11.HE681097.1:1,sspA.12.CP002110.1:1,sspA.13.CP001781.1:1
1328 | SEnt(enterotoxin) | VFG000951.gb.NP.665105.spea.streptococcal.exotoxin.A.precursor.phage.associated.Spes.VF0248.Streptococcus.pyogenes.MGAS315.:1,VFG000954.gb.NP.664724.ssa.streptococcal.superantigen.SSA.phage.associated.Spes.VF0248.Streptococcus.pyogenes.MGAS315.:1,SEntB.1.CP000046.1:1,SEntB.2.CP002110.1:1,SEntC.1.BA000033.2:1,SEntC.2.AJ938182.1:1,SEntC.3.AP009324.1:1,SEntC.4.AJ938182.1:1,SEntC.5.CP002114.2:1,SEntC.6.CP001996.1:1,SEntG.1.BA000018.3:1,SEnt.2.CP002110.1:1,SEnt.7.FR821777.2:1,SEnt.9.FR821777.2:1,SEnt.12.HE681097.1:1,SEnt-protein.1.AJ938182.1:1,SEntyent2.1.AP009324.1:1,seb.2.KC428707.1:1,seb.3.DQ997831.1:1,seb.4.AB716349.1:1,seb.6.AB716351.1:1,seb.7.AB716352.1:1,seb.8.AB716350.1:1,sec3.2.M28364.1:1,sec.4.KF386012.1:1,sec3.9.JN689383.1:1,ser.1.AB075606.1:1
1036 | hlgB | hlgB.1.BX571856.1:1,hlgB.2.BA000018.3:1,hlgB.4.BA000017.4:1,hlgB.7.BX571857.1:1,hlgB.8.CP002114.2:1,hlgB.9.HE681097.1:1,hlgB.11.FR821779.1:1,hlgB.12.FR821779.1:1,lukF-PV.1.AB045978.2:1,lukF-PV.11.CP003166.1:1,lukF-PV.12.BX571856.1:1,lukD.1.BA000018.3:1,lukD.4.AJ938182.1:1,lukD.5.CP002114.2:1,lukF-PV.7.AP012341.1:1,lukF-PV.10.AB678718.1:1
989 | UDP-GlcNAc-2-epimerase | VFG012002.gb.NP.282439.pseB.UDP.GlcNAc.specific.C4.6.dehydratase.C5.epimerase.Pse5Ac7Ac.Pse5Ac7Am.Pse8OAc.Pse5Am7AcGlnAc.AI151.Campylobacter.jejuni.subsp.jejuni.NCTC.11168.:1,VFG001374.gb.NP.344891.cps4J.capsular.polysaccharide.biosynthesis.protein.Cps4J.Capsule.VF0144.Streptococcus.pneumoniae.TIGR4.:1,cap5E.1.CP001781.1:1,cap5E.2.CP000046.1:1,cap5E.3.CP000730.1:1,cap5E.5.CP003033.1:1,cap5E.6.CP002120.1:1,capE.1.AJ938182.1:1,capE.4.HE681097.1:1,cap8E.4.CP003166.1:1
1337 | eltA | VFG002037.gb.AAA24685.eltA.heat.labile.enterotoxin.A.prepeptide.from.human.Heat.labile.toxin.LT.VF0210.Escherichia.coli.:1,VFG000107.gb.NP.231100.ctxA.cholera.enterotoxin.A.subunit.CT.VF0128.Vibrio.cholerae.O1.biovar.El.Tor.str.N16961.:1,ltcA.1.V00275:1,ltcA.2.EU113250:1,ltcA.3.EU113255:1,ltcA.4.EU113253:1,ltcA.5.EU113246:1,ltcA.6.EU113254:1,ltcA.7.EU113249:1,ltcA.8.EU113247:1,ltcA.9.EU113252:1,ltcA.10.EU113243:1,ltcA.11.EU113244:1,ltcA.13.EU113251:1,ltcA.15.EU113248:1,ltcA.16.CP000795:1,ltcA.17.AP010910:1
